,,,Entries,Entries,Dropouts,Dropouts,Dropout Rate,Dropout Rate
Gender,,,men,women,men,women,men,women
Event,Phase,Routine,,,,,,
2020OS,qual,CE,16,16,1,2,6.25,12.5
2020OS,qual,OE,16,16,5,5,31.25,31.25
2020OS,final,OE,8,8,1,0,12.5,0.0
2020WM,qual,CE,98,79,4,4,4.081632653061225,5.063291139240507
2020WM,qual,OE,98,79,18,10,18.367346938775512,12.658227848101266
2020WM,semi,OE,24,24,2,5,8.333333333333332,20.833333333333336
2020WM,final,OE,8,8,1,1,12.5,12.5
2021WM,qual,CE,78,54,6,2,7.6923076923076925,3.7037037037037033
2021WM,qual,OE,78,54,19,11,24.358974358974358,20.37037037037037
2021WM,semi,OE,24,24,7,5,29.166666666666668,20.833333333333336
2021WM,final,OE,8,8,0,0,0.0,0.0
2022EM,qual,CE,59,52,6,7,10.16949152542373,13.461538461538462
2022EM,qual,OE,59,52,21,13,35.59322033898305,25.0
2022EM,semi,OE,24,24,5,5,20.833333333333336,20.833333333333336
2022EM,final,OE,8,8,0,1,0.0,12.5
